machine_id,temperature,torque,tool_wear,vibration_index,anomaly_score
M_1,305.27,42.3,0.3215,0.731,0.313
M_2,305.11,41.46,0.1136,0.399,0.108
M_1,303.01,43.4,0.325,0.623,0.259
M_2,303.76,40.36,0.1447,0.509,0.142
M_1,300.2,40.73,0.1552,0.534,0.12
M_2,310.3,40.45,0.5338,0.758,0.477
M_2,304.03,40.84,0.2645,0.68,0.256
M_1,302.43,45.81,0.3257,0.58,0.241
M_3,302.0,42.04,0.0522,0.481,0.071
M_1,306.25,39.97,0.1857,0.495,0.184
M_3,302.2,40.16,0.3223,0.508,0.215
M_1,305.28,39.78,0.2876,0.672,0.278
M_2,308.81,45.7,0.5965,0.854,0.523
M_1,304.39,41.1,0.1978,0.74,0.245
M_2,301.03,39.29,0.209,0.548,0.159
M_1,300.52,41.23,0.1867,0.577,0.152
M_1,312.87,46.98,0.7219,0.839,0.621
M_1,305.55,41.36,0.3848,0.731,0.347
M_3,305.27,41.21,0.1047,0.637,0.176
M_1,302.55,42.54,0.2598,0.522,0.192
M_3,302.46,41.07,0.2155,0.538,0.174
M_2,305.63,41.18,0.17,0.454,0.158
M_3,306.36,41.37,0.1811,0.609,0.217
M_2,309.03,44.71,0.6559,1.045,0.612
M_2,307.12,42.42,0.4855,0.821,0.44
M_1,314.38,40.25,0.4904,0.921,0.545
M_1,300.12,39.3,0.0716,0.394,0.035
M_1,301.14,39.28,0.3197,0.652,0.247
M_2,301.52,39.25,0.1455,0.563,0.137
M_3,311.01,42.39,0.3779,0.734,0.399
M_3,303.65,37.93,0.2278,0.598,0.21
M_1,302.09,38.87,0.1244,0.443,0.096
M_1,306.03,45.28,0.1061,0.566,0.163
M_1,296.12,41.31,0.0246,0.253,0.0
M_1,303.42,39.97,0.3254,0.617,0.262
M_3,310.93,41.7,0.3695,0.741,0.396
M_3,302.21,39.97,0.2995,0.495,0.2
M_1,302.62,39.11,0.1724,0.522,0.149
M_3,305.4,40.98,0.4368,0.81,0.396
M_1,311.4,44.64,0.6695,0.99,0.626
M_3,307.8,41.7,0.204,0.53,0.219
M_2,306.67,41.97,0.2959,0.702,0.305
M_2,299.41,42.92,0.1624,0.462,0.1
M_3,293.61,43.02,0.0316,0.522,0.053
M_2,305.48,40.94,0.116,0.513,0.147
M_2,306.37,39.64,0.2926,0.765,0.32
M_2,301.3,40.56,0.2825,0.582,0.209
M_1,301.74,38.86,0.2706,0.474,0.175
M_3,306.72,41.49,0.4054,0.689,0.357
M_3,300.93,42.04,0.2202,0.727,0.217
M_2,306.65,41.77,0.5425,0.91,0.491
M_2,311.64,41.64,0.562,0.918,0.553
M_3,305.79,38.4,0.292,0.717,0.299
M_3,299.42,40.91,0.1826,0.559,0.139
M_1,302.88,37.16,0.2818,0.511,0.203
M_3,312.21,38.41,0.5134,0.711,0.472
M_2,300.42,42.81,0.1935,0.56,0.149
M_1,303.04,43.23,0.3573,0.595,0.268
M_1,305.73,41.08,0.0388,0.531,0.116
M_1,305.5,45.46,0.5469,0.899,0.478
M_1,296.74,38.52,0.0309,0.53,0.054
M_1,304.86,39.66,0.0736,0.48,0.109
M_2,312.69,43.42,0.4149,0.682,0.419
M_3,305.5,43.38,0.1366,0.519,0.159
M_1,308.96,44.7,0.5462,0.97,0.534
M_3,310.26,38.57,0.4556,0.685,0.416
M_2,298.39,39.39,0.1974,0.665,0.178
M_3,303.89,40.64,0.1484,0.429,0.122
M_2,306.03,39.46,0.1725,0.535,0.187
M_3,309.09,45.08,0.621,0.849,0.536
M_1,303.98,41.75,0.1022,0.585,0.146
M_2,308.14,42.27,0.3956,0.686,0.365
M_2,298.12,41.42,0.0386,0.415,0.024
M_1,302.04,37.84,0.13,0.544,0.129
M_1,304.64,40.86,0.347,0.793,0.338
M_1,304.24,41.12,0.2313,0.636,0.229
M_3,300.3,45.38,0.1565,0.496,0.11
M_3,296.86,40.22,0.1631,0.567,0.132
M_1,305.93,45.15,0.6366,0.892,0.525
M_2,305.07,40.52,0.368,0.656,0.312
M_3,304.83,43.25,0.4284,0.693,0.35
M_2,305.47,46.1,0.2383,0.599,0.234
M_2,299.63,40.66,0.0507,0.319,0.001
M_1,300.38,39.82,0.0394,0.442,0.036
M_2,304.79,40.64,0.4653,0.772,0.392
M_1,309.28,42.25,0.3978,0.731,0.391
M_1,305.77,41.02,0.5749,0.908,0.497
M_1,305.53,42.23,0.2853,0.61,0.261
M_1,304.19,42.6,0.2615,0.782,0.287
M_3,302.92,43.54,0.2648,0.656,0.238
M_2,303.51,40.25,0.1951,0.57,0.184
M_2,308.57,39.36,0.1674,0.398,0.169
M_1,301.2,41.32,0.4869,0.94,0.417
M_2,309.48,42.08,0.3721,0.764,0.39
M_3,307.33,41.13,0.3145,0.56,0.279
M_1,298.6,41.6,0.0631,0.483,0.056
M_2,304.68,42.28,0.318,0.691,0.293
M_3,313.74,43.55,0.8131,1.182,0.778
M_1,308.64,44.57,0.5786,0.811,0.499
M_3,311.63,45.52,0.5949,0.897,0.563
M_3,301.55,42.73,0.3352,0.811,0.306
M_2,305.48,42.26,0.5653,0.996,0.516
M_2,304.43,45.16,0.3505,0.791,0.337
M_3,305.61,44.63,0.4901,0.801,0.422
M_2,307.09,45.76,0.4774,0.745,0.413
M_3,306.6,40.12,0.1058,0.47,0.14
M_3,299.53,41.49,0.3682,0.634,0.254
M_1,304.78,45.22,0.4151,0.634,0.326
M_2,308.47,42.98,0.1642,0.528,0.205
M_2,299.97,38.17,0.2533,0.702,0.217
M_1,303.87,41.68,0.2059,0.541,0.184
M_1,307.65,42.51,0.1479,0.54,0.192
M_1,298.06,39.66,0.12,0.524,0.097
M_1,301.39,37.15,0.2113,0.498,0.149
M_1,305.66,42.73,0.2071,0.663,0.239
M_1,308.95,46.02,0.2799,0.598,0.289
M_2,300.01,41.19,0.2075,0.406,0.106
M_2,301.37,41.19,0.0779,0.474,0.075
M_3,297.47,40.75,0.0391,0.379,0.013
M_2,303.71,41.82,0.2175,0.766,0.256
M_3,306.19,38.7,0.1755,0.671,0.231
M_1,302.9,39.37,0.0327,0.405,0.047
M_3,302.69,43.03,0.3663,0.749,0.315
M_1,302.41,44.47,0.429,0.85,0.374
M_3,302.87,40.52,0.6221,0.85,0.475
M_2,310.83,40.53,0.0936,0.344,0.138
M_3,303.56,43.5,0.1721,0.545,0.165
M_3,302.38,42.09,0.1965,0.555,0.168
M_1,299.52,42.3,0.0917,0.348,0.03
M_2,303.15,42.62,0.3179,0.73,0.29
M_1,304.21,39.69,0.1704,0.541,0.17
M_2,299.07,41.7,0.1496,0.579,0.128
M_1,307.08,45.1,0.2931,0.568,0.268
M_2,303.83,40.05,0.1546,0.721,0.212
M_2,305.28,39.02,0.0276,0.313,0.04
M_1,313.62,42.01,0.5663,0.884,0.565
M_2,306.75,40.25,0.4908,0.736,0.414
M_1,301.46,39.09,0.0582,0.497,0.073
M_3,298.13,43.96,0.1221,0.531,0.1
M_2,313.45,44.56,0.6343,0.881,0.596
M_2,305.89,39.66,0.1456,0.404,0.133
M_2,307.04,41.54,0.4312,0.756,0.393
M_2,301.07,39.09,0.3065,0.588,0.22
M_1,306.78,41.49,0.285,0.648,0.285
M_1,309.22,46.0,0.6089,0.974,0.569
M_2,303.58,39.86,0.2739,0.662,0.251
M_2,301.95,36.59,0.1058,0.467,0.093
M_3,302.07,43.34,0.6434,0.885,0.488
M_1,301.74,40.65,0.1049,0.326,0.048
M_2,301.44,44.65,0.427,0.833,0.358
M_2,299.52,39.05,0.0355,0.396,0.016
M_1,306.34,43.29,0.1184,0.436,0.133
M_1,309.68,42.04,0.4586,0.846,0.46
M_1,310.51,42.88,0.6171,0.848,0.548
M_1,299.88,37.8,0.1515,0.536,0.117
M_1,303.15,40.3,0.2343,0.653,0.224
M_1,298.63,42.81,0.0951,0.407,0.05
M_3,300.77,43.01,0.185,0.5,0.13
M_1,308.59,42.68,0.5424,0.939,0.519
M_3,301.18,40.94,0.0847,0.531,0.093
M_3,312.12,45.14,0.5481,0.786,0.511
M_3,299.31,40.28,0.1138,0.567,0.107
M_1,302.76,41.75,0.3601,0.734,0.308
M_3,302.07,42.26,0.3084,0.691,0.262
M_3,296.19,39.84,0.1721,0.477,0.109
M_1,309.27,42.56,0.3908,0.58,0.342
M_1,303.95,43.0,0.1309,0.519,0.141
M_3,301.64,39.04,0.0491,0.461,0.059
M_2,313.58,44.38,0.4449,0.604,0.419
M_3,301.34,38.92,0.2604,0.59,0.2
M_2,309.74,42.37,0.3156,0.557,0.302
M_1,310.89,41.63,0.201,0.586,0.265
M_2,299.54,36.48,0.133,0.553,0.113
M_3,304.11,43.74,0.3566,0.665,0.299
M_1,308.73,43.27,0.1699,0.618,0.238
M_3,299.57,43.41,0.2556,0.672,0.209
M_2,303.77,39.92,0.3378,0.603,0.267
M_1,305.14,43.58,0.2274,0.629,0.234
M_3,305.67,41.63,0.3069,0.686,0.296
M_2,296.75,42.75,0.1367,0.494,0.096
M_1,305.17,39.75,0.059,0.367,0.071
M_1,303.32,42.07,0.2665,0.686,0.252
M_2,301.57,41.27,0.2019,0.522,0.153
M_3,306.85,42.21,0.407,0.782,0.386
M_2,307.24,39.48,0.2321,0.635,0.259
M_1,302.87,40.07,0.3381,0.686,0.284
M_1,303.26,42.96,0.4966,0.912,0.434
M_2,303.69,45.7,0.3354,0.81,0.328
M_2,302.76,36.43,0.1396,0.509,0.13
M_1,305.15,40.89,0.2786,0.599,0.251
M_2,306.58,37.61,0.0347,0.354,0.069
M_2,305.89,39.52,0.1306,0.358,0.112
M_1,304.62,41.14,0.2005,0.629,0.215
M_2,313.96,43.32,0.773,1.021,0.712
M_1,298.47,42.29,0.057,0.395,0.027
M_2,299.33,41.69,0.1677,0.519,0.12
M_3,308.12,41.43,0.486,0.833,0.454
M_2,307.22,41.3,0.1199,0.472,0.154
M_3,298.54,40.49,0.0708,0.54,0.077
M_1,302.82,38.07,0.0988,0.635,0.148
M_1,300.76,41.02,0.0552,0.381,0.029
M_2,304.28,39.8,0.1119,0.442,0.111
M_1,297.09,41.05,0.0693,0.495,0.063
M_3,300.69,38.93,0.3579,0.641,0.258
M_2,301.48,40.14,0.1169,0.527,0.111
M_1,302.74,44.02,0.3696,0.653,0.288
M_3,305.61,38.75,0.4305,0.787,0.387
M_2,302.01,42.04,0.0485,0.511,0.078
M_3,303.33,37.74,0.199,0.52,0.169
M_2,300.02,41.41,0.1869,0.628,0.162
M_1,306.69,39.75,0.3978,0.709,0.359
M_3,307.55,42.36,0.1752,0.546,0.207
M_2,295.85,39.12,0.0736,0.335,0.017
M_2,302.79,39.97,0.2719,0.505,0.195
M_3,299.57,41.16,0.1122,0.513,0.09
M_1,308.6,42.13,0.4978,0.736,0.436
M_1,302.72,40.69,0.1639,0.484,0.134
M_3,305.33,42.53,0.302,0.515,0.239
M_1,306.39,40.84,0.3188,0.701,0.314
M_2,306.59,41.5,0.2554,0.47,0.215
M_1,304.79,40.24,0.0879,0.472,0.113
M_2,307.53,41.46,0.2457,0.622,0.265
M_3,309.38,39.12,0.6068,0.944,0.56
M_3,310.29,42.57,0.4621,0.657,0.411
M_3,304.55,40.52,0.2121,0.564,0.201
M_1,302.81,41.95,0.2185,0.387,0.133
M_3,302.8,43.58,0.3295,0.793,0.311
M_2,299.82,41.25,0.2109,0.56,0.153
M_3,308.74,41.13,0.2627,0.629,0.287
M_3,301.03,42.08,0.2835,0.837,0.283
M_1,304.54,38.71,0.0568,0.396,0.072
M_1,304.51,43.08,0.5491,0.865,0.459
M_3,307.61,41.1,0.2951,0.751,0.329
M_3,303.81,41.95,0.2036,0.65,0.215
M_1,305.46,40.7,0.3491,0.676,0.312
M_2,306.33,43.95,0.3708,0.581,0.303
M_1,297.56,43.07,0.069,0.389,0.031
M_1,305.13,41.33,0.2312,0.569,0.218
M_1,294.12,44.89,0.1959,0.537,0.139
M_3,301.31,42.99,0.1929,0.571,0.161
M_2,311.31,44.36,0.5829,0.908,0.557
M_1,308.77,39.99,0.277,0.699,0.316
M_3,301.45,40.85,0.1584,0.575,0.146
M_2,300.41,40.22,0.3488,0.617,0.244
M_3,300.88,37.41,0.0975,0.467,0.078
M_1,307.21,42.54,0.3447,0.78,0.358
M_2,307.61,42.71,0.3506,0.721,0.348
M_2,298.4,39.94,0.1182,0.417,0.064
M_1,306.06,43.94,0.406,0.642,0.336
M_3,300.31,40.57,0.0547,0.529,0.069
M_2,302.91,40.98,0.2216,0.736,0.241
M_1,300.13,38.96,0.1246,0.53,0.103
M_1,301.24,40.42,0.1394,0.476,0.105
M_3,302.19,41.24,0.4295,0.86,0.375
M_1,311.21,45.51,0.5798,0.916,0.557
M_1,302.39,43.85,0.3398,0.562,0.243
M_1,301.97,39.92,0.1089,0.528,0.113
M_1,304.85,42.29,0.55,0.76,0.432
M_1,303.23,41.19,0.092,0.465,0.098
M_1,304.38,40.27,0.1483,0.534,0.158
M_2,302.85,37.87,0.0642,0.593,0.119
M_1,308.93,39.1,0.4601,0.702,0.41
M_3,304.96,40.6,0.2961,0.649,0.272
M_3,304.67,40.91,0.2651,0.56,0.227
M_3,300.36,39.38,0.2513,0.603,0.19
M_3,304.95,43.62,0.2262,0.509,0.195
M_1,300.6,40.98,0.2576,0.609,0.198
M_3,304.9,38.83,0.2898,0.647,0.268
M_3,300.11,41.64,0.0929,0.346,0.031
M_1,304.13,40.3,0.3899,0.817,0.361
M_1,303.05,38.62,0.2205,0.499,0.171
M_1,306.24,42.59,0.3327,0.71,0.322
M_2,299.89,39.17,0.1618,0.6,0.141
M_1,299.86,40.22,0.3036,0.749,0.256
M_1,304.8,36.52,0.0713,0.547,0.128
M_1,305.96,41.14,0.3908,0.768,0.365
M_1,311.42,41.93,0.5763,0.844,0.535
M_3,304.63,39.9,0.1241,0.222,0.055
M_1,293.48,40.83,0.0859,0.504,0.074
M_1,309.61,36.14,0.3982,0.818,0.421
M_1,307.32,36.63,0.3502,0.622,0.315
M_1,299.5,38.63,0.1595,0.673,0.162
M_1,299.78,41.31,0.0781,0.525,0.077
M_2,300.39,40.17,0.1764,0.458,0.11
M_3,309.0,42.64,0.4861,0.662,0.412
M_1,304.74,38.86,0.2537,0.588,0.231
M_3,303.75,41.43,0.1169,0.561,0.144
M_1,298.73,41.31,0.1378,0.474,0.091
M_3,304.31,44.16,0.774,0.987,0.606
M_2,306.09,43.35,0.3148,0.698,0.308
M_1,302.85,41.89,0.3972,0.733,0.327
M_3,302.4,39.89,0.2384,0.652,0.219
M_3,305.16,42.38,0.4179,0.592,0.318
M_3,303.54,41.85,0.2638,0.687,0.253
M_3,303.25,40.84,0.1835,0.603,0.185
M_3,302.37,39.36,0.2567,0.529,0.191
M_2,305.07,42.4,0.3292,0.691,0.303
M_1,300.89,37.45,0.1893,0.541,0.146
M_2,307.19,39.37,0.1261,0.43,0.144
M_2,299.39,37.8,0.1892,0.625,0.162
M_3,307.48,42.62,0.3887,0.742,0.372
M_2,299.8,40.57,0.0869,0.527,0.082
M_3,300.53,40.76,0.2079,0.592,0.167
M_3,301.09,44.36,0.1713,0.648,0.171
M_1,302.21,37.96,0.3422,0.711,0.286
M_2,299.99,36.67,0.0659,0.448,0.047
M_2,301.2,42.35,0.2305,0.538,0.168
M_3,303.37,44.26,0.2707,0.509,0.202
M_2,300.81,40.08,0.2075,0.424,0.119
M_1,310.22,40.42,0.4856,0.786,0.461
M_2,299.87,42.14,0.199,0.637,0.171
M_3,302.03,41.26,0.1897,0.561,0.163
M_2,305.4,42.89,0.2942,0.636,0.272
M_1,306.81,37.65,0.3926,0.737,0.365
M_3,304.65,36.94,0.3175,0.569,0.256
M_2,308.5,44.98,0.5468,0.783,0.473
M_2,307.92,41.78,0.4427,0.729,0.399
M_1,301.19,38.81,0.2526,0.638,0.21
M_3,304.79,45.65,0.6954,1.041,0.588
M_1,303.87,45.19,0.2662,0.605,0.233
M_2,303.88,42.79,0.3436,0.782,0.325
M_3,301.73,43.35,0.3344,0.767,0.295
M_1,303.94,43.68,0.3176,0.904,0.349
M_3,302.2,40.89,0.1552,0.592,0.157
M_3,301.15,39.58,0.0343,0.535,0.069
M_1,298.66,39.81,0.0359,0.38,0.012
M_3,296.9,40.64,0.0209,0.538,0.052
M_1,304.48,37.89,0.0307,0.478,0.084
M_3,301.58,41.04,0.129,0.528,0.119
M_3,305.52,44.75,0.5264,0.952,0.484
M_3,302.6,42.47,0.1161,0.562,0.133
M_1,301.42,41.64,0.1113,0.62,0.136
M_3,297.76,41.67,0.0534,0.321,0.003
M_3,309.55,43.2,0.3747,0.756,0.389
M_1,302.02,41.99,0.2013,0.518,0.156
M_2,305.52,41.28,0.4322,0.876,0.414
M_1,306.53,42.65,0.2842,0.546,0.251
M_3,307.32,38.61,0.2017,0.617,0.239
M_2,295.95,37.35,0.0806,0.411,0.044
M_1,300.5,41.66,0.1315,0.393,0.069
M_3,306.22,42.05,0.1911,0.608,0.22
M_3,311.48,41.73,0.5538,0.855,0.528
M_3,308.03,44.82,0.2895,0.677,0.308
M_2,301.46,40.19,0.1106,0.387,0.066
M_2,305.54,43.57,0.3262,0.697,0.307
M_2,313.1,43.11,0.6506,0.884,0.602
M_2,303.6,46.28,0.2319,0.683,0.237
M_3,301.69,44.45,0.2397,0.704,0.228
M_3,302.43,39.52,0.2032,0.548,0.17
M_2,298.82,39.55,0.0752,0.421,0.044
M_1,301.93,41.46,0.22,0.624,0.196
M_3,302.48,42.81,0.2209,0.697,0.224
M_2,302.05,43.67,0.422,0.67,0.313
M_3,300.09,38.49,0.1557,0.484,0.104
M_1,307.85,38.37,0.4446,0.733,0.401
M_3,302.08,43.27,0.2173,0.677,0.213
M_1,300.84,41.46,0.1543,0.544,0.129
M_1,304.67,40.75,0.1111,0.502,0.133
M_3,304.52,41.04,0.4232,0.695,0.345
M_1,312.79,42.72,0.6663,0.992,0.639
M_3,302.16,40.05,0.2803,0.595,0.22
M_2,308.44,38.51,0.2304,0.536,0.24
M_1,303.28,40.75,0.0782,0.497,0.101
M_1,309.51,46.59,0.5427,0.722,0.463
M_3,306.28,42.46,0.1922,0.564,0.208
M_3,305.69,36.84,0.2021,0.7,0.248
M_2,302.17,40.77,0.1185,0.565,0.131
M_2,309.48,44.31,0.5603,0.759,0.483
M_1,301.24,39.72,0.132,0.372,0.07
M_1,302.69,43.86,0.1404,0.591,0.154
M_2,310.89,42.46,0.5904,0.828,0.532
M_2,304.81,37.95,0.0259,0.318,0.037
M_3,299.53,40.8,0.2461,0.557,0.17
M_3,304.09,40.5,0.1756,0.41,0.132
M_2,301.66,40.51,0.2405,0.681,0.221
M_2,307.09,39.32,0.2817,0.54,0.254
M_1,309.13,43.33,0.5634,0.846,0.507
M_2,305.15,37.14,0.0692,0.358,0.074
M_3,309.18,45.34,0.5591,0.906,0.523
M_2,301.41,40.77,0.237,0.538,0.174
M_3,306.64,45.95,0.358,0.547,0.289
M_1,302.45,39.78,0.2343,0.648,0.216
M_2,303.04,37.43,0.1057,0.571,0.135
M_1,303.34,41.09,0.1849,0.497,0.155
M_1,303.44,39.1,0.3406,0.711,0.298
M_3,304.55,41.11,0.4355,0.766,0.373
M_3,304.17,38.97,0.1871,0.554,0.182
M_2,303.92,44.13,0.4137,0.839,0.378
M_3,303.07,40.98,0.4789,0.76,0.378
M_1,305.69,42.53,0.3194,0.515,0.251
M_2,302.81,39.96,0.2442,0.667,0.23
M_3,304.72,43.81,0.176,0.496,0.164
M_2,303.09,40.89,0.2852,0.628,0.242
M_2,296.24,37.78,0.2825,0.687,0.227
M_3,303.05,40.66,0.4273,0.778,0.358
M_2,300.62,44.15,0.2351,0.569,0.174
M_1,302.05,43.12,0.3956,0.753,0.324
M_2,297.49,41.53,0.0434,0.504,0.053
M_2,299.0,41.49,0.1601,0.498,0.109
M_2,303.25,37.37,0.2382,0.696,0.24
M_1,304.56,36.63,0.1122,0.684,0.187
M_3,309.76,40.87,0.6387,0.886,0.563
M_3,302.92,39.29,0.2166,0.641,0.21
M_2,298.29,42.29,0.1365,0.582,0.123
M_3,312.23,44.9,0.6936,0.941,0.631
M_2,304.36,42.32,0.3392,0.768,0.324
M_3,298.57,39.02,0.1054,0.367,0.043
M_3,299.33,41.16,0.1808,0.515,0.125
M_3,311.08,45.32,0.6173,0.978,0.593
M_3,309.52,44.75,0.3349,0.756,0.369
M_2,305.02,39.77,0.2909,0.499,0.225
M_1,301.3,42.96,0.2314,0.621,0.195
M_3,298.59,44.91,0.2504,0.674,0.207
M_1,303.7,38.33,0.1659,0.594,0.178
M_2,303.76,44.6,0.4203,0.799,0.367
M_1,311.33,40.77,0.3733,0.629,0.369
M_3,304.09,36.43,0.1294,0.534,0.146
M_2,309.51,43.34,0.4265,0.765,0.418
M_1,309.35,40.66,0.4552,0.7,0.411
M_3,307.9,37.52,0.2923,0.691,0.312
M_3,306.28,42.65,0.2422,0.52,0.22
M_3,309.58,45.39,0.4537,0.676,0.405
M_1,301.58,41.11,0.1117,0.575,0.124
M_3,306.77,42.41,0.5306,0.664,0.412
M_2,304.0,42.81,0.4246,0.613,0.316
M_3,302.95,40.06,0.1968,0.418,0.133
M_1,296.57,41.05,0.1328,0.422,0.073
M_1,308.1,42.63,0.0842,0.505,0.155
M_2,297.87,41.11,0.051,0.444,0.039
M_2,309.56,45.48,0.4051,0.742,0.401
M_1,307.55,37.48,0.3397,0.619,0.311
M_3,306.9,39.97,0.4934,0.796,0.435
M_2,301.54,42.77,0.1299,0.625,0.148
M_2,308.52,42.17,0.4659,0.677,0.401
M_3,303.31,38.77,0.1243,0.508,0.128
M_2,305.02,36.79,0.0965,0.551,0.144
M_3,307.4,42.16,0.5471,0.85,0.483
M_3,308.18,43.57,0.5109,0.928,0.496
M_2,303.01,43.51,0.3422,0.719,0.297
M_2,300.46,42.32,0.1283,0.474,0.091
M_3,306.88,41.98,0.5027,0.932,0.48
M_2,306.63,41.51,0.2,0.671,0.248
M_3,306.0,43.1,0.3893,0.604,0.316
M_3,306.07,41.78,0.2923,0.732,0.307
M_2,303.48,39.13,0.3275,0.652,0.274
M_1,304.85,40.58,0.2083,0.566,0.202
M_3,307.05,41.94,0.3607,0.857,0.388
M_1,314.23,43.78,0.4974,0.858,0.528
M_2,307.02,37.15,0.2727,0.71,0.3
M_3,301.51,42.57,0.3015,0.646,0.24
M_3,303.51,42.63,0.1097,0.375,0.083
M_3,303.49,41.23,0.4308,0.817,0.375
M_2,304.95,41.2,0.2653,0.652,0.258
M_2,299.22,39.14,0.1324,0.509,0.099
M_2,298.24,43.83,0.3243,0.672,0.244
M_3,301.31,36.36,0.3224,0.616,0.239
M_2,301.11,38.98,0.1975,0.515,0.144
M_3,310.08,45.68,0.585,0.893,0.541
M_2,298.93,41.71,0.1143,0.427,0.065
M_3,301.02,38.43,0.0433,0.43,0.041
M_2,297.23,42.12,0.0839,0.383,0.037
M_2,303.75,41.5,0.172,0.553,0.169
M_1,299.09,36.78,0.1633,0.659,0.159
M_2,303.69,41.09,0.5047,0.679,0.373
M_1,297.48,38.37,0.038,0.483,0.044
M_1,302.57,38.16,0.0204,0.497,0.065
M_3,302.84,43.25,0.1894,0.461,0.141
M_1,302.07,42.45,0.4766,0.79,0.376
M_3,300.75,38.89,0.1389,0.505,0.109
M_2,305.72,44.35,0.4562,0.651,0.361
M_2,300.73,41.97,0.0957,0.51,0.088
M_3,307.21,41.33,0.2052,0.573,0.227
M_2,302.77,42.73,0.2598,0.563,0.206
M_2,310.66,42.64,0.4647,0.949,0.504
M_3,300.8,40.88,0.2196,0.488,0.144
M_3,306.93,42.78,0.3946,0.658,0.344
M_3,307.92,40.99,0.3691,0.738,0.365
M_1,311.45,44.56,0.4023,0.71,0.409
M_3,299.44,43.61,0.1584,0.556,0.126
M_3,303.72,44.26,0.4886,0.761,0.39
M_3,301.34,43.67,0.1939,0.589,0.167
M_2,306.58,41.06,0.417,0.73,0.373
M_1,305.88,40.6,0.1765,0.359,0.135
M_1,306.27,40.18,0.515,0.627,0.388
M_2,308.81,37.93,0.3645,0.782,0.385
M_2,306.44,41.92,0.325,0.637,0.298
M_1,307.91,42.06,0.5021,0.724,0.427
M_3,304.54,40.58,0.3935,0.557,0.289
M_3,304.28,40.39,0.2778,0.674,0.264
M_2,300.7,40.79,0.0434,0.39,0.026
M_2,298.22,41.06,0.1491,0.465,0.094
M_3,303.09,41.61,0.2158,0.708,0.231
M_1,301.7,41.53,0.19,0.481,0.136
M_2,302.61,42.51,0.2673,0.581,0.214
M_3,305.43,40.67,0.4899,0.724,0.396
M_2,298.37,40.39,0.0647,0.294,0.001
M_2,304.93,39.44,0.0655,0.403,0.083
M_3,302.82,42.18,0.2125,0.559,0.182
M_1,299.86,37.53,0.4571,0.816,0.353
M_1,309.01,41.74,0.4286,0.701,0.395
M_2,306.4,45.35,0.3236,0.624,0.293
M_3,296.64,38.28,0.0502,0.553,0.071
M_3,302.66,35.86,0.1107,0.383,0.077
M_2,302.82,39.3,0.14,0.493,0.126
M_1,299.9,40.94,0.2056,0.602,0.163
M_1,303.87,37.2,0.1324,0.47,0.126
M_2,297.92,37.45,0.0805,0.405,0.042
M_2,309.57,41.41,0.2864,0.47,0.26
M_1,307.15,43.74,0.5636,0.859,0.491
M_1,301.44,42.33,0.283,0.731,0.255
M_2,304.44,40.47,0.3206,0.612,0.268
M_1,315.94,42.28,0.5925,0.854,0.592
M_2,307.55,43.7,0.5211,0.893,0.484
M_1,299.47,42.94,0.2868,0.534,0.184
M_2,311.69,41.84,0.3979,0.698,0.405
M_3,308.07,41.79,0.4985,0.737,0.431
M_3,296.64,41.01,0.0463,0.547,0.067
M_3,298.92,38.14,0.0947,0.517,0.083
M_1,307.86,42.97,0.4971,0.711,0.42
M_2,304.88,40.22,0.2864,0.658,0.269
